danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.46,0.125,11,-8.094,0,0.0371,0.891,0,0.165,0.275,75.639,audio_features,18r5gmlp3vQykXCskNJI0e,spotify:track:18r5gmlp3vQykXCskNJI0e,https://api.spotify.com/v1/tracks/18r5gmlp3vQykXCskNJI0e,https://api.spotify.com/v1/audio-analysis/18r5gmlp3vQykXCskNJI0e,89969,5
0.621,0.125,10,-19.686,0,0.0376,0.977,0.916,0.104,0.321,166.048,audio_features,0zfslMAEFfuIjkgxa6tEPc,spotify:track:0zfslMAEFfuIjkgxa6tEPc,https://api.spotify.com/v1/tracks/0zfslMAEFfuIjkgxa6tEPc,https://api.spotify.com/v1/audio-analysis/0zfslMAEFfuIjkgxa6tEPc,188793,4
0.351,0.125,6,-18.151,0,0.0421,0.985,0.927,0.0972,0.157,100.256,audio_features,0Ah41mjuPtj9TXfElZ59WK,spotify:track:0Ah41mjuPtj9TXfElZ59WK,https://api.spotify.com/v1/tracks/0Ah41mjuPtj9TXfElZ59WK,https://api.spotify.com/v1/audio-analysis/0Ah41mjuPtj9TXfElZ59WK,191360,4
0.638,0.125,4,-15.454,1,0.0548,0.995,0.96,0.0883,0.24,69.976,audio_features,1HQwCt2tFgnYyPzY019ZpI,spotify:track:1HQwCt2tFgnYyPzY019ZpI,https://api.spotify.com/v1/tracks/1HQwCt2tFgnYyPzY019ZpI,https://api.spotify.com/v1/audio-analysis/1HQwCt2tFgnYyPzY019ZpI,190717,4
0.857,0.125,7,-18.15,1,0.447,0.904,0.926,0.0948,0.608,159.953,audio_features,4j1lMVFE9H5Av6wxRhteSA,spotify:track:4j1lMVFE9H5Av6wxRhteSA,https://api.spotify.com/v1/tracks/4j1lMVFE9H5Av6wxRhteSA,https://api.spotify.com/v1/audio-analysis/4j1lMVFE9H5Av6wxRhteSA,213750,4
0.217,0.125,9,-19.722,1,0.0367,0.983,0.948,0.121,0.0397,96.234,audio_features,4Xb2wkROpoS7sFh8VDaZt8,spotify:track:4Xb2wkROpoS7sFh8VDaZt8,https://api.spotify.com/v1/tracks/4Xb2wkROpoS7sFh8VDaZt8,https://api.spotify.com/v1/audio-analysis/4Xb2wkROpoS7sFh8VDaZt8,125000,4
0.339,0.125,5,-18.938,1,0.0343,0.965,0.958,0.11,0.0483,169.877,audio_features,7fjlGoXXerPOqScrC9Ji6B,spotify:track:7fjlGoXXerPOqScrC9Ji6B,https://api.spotify.com/v1/tracks/7fjlGoXXerPOqScrC9Ji6B,https://api.spotify.com/v1/audio-analysis/7fjlGoXXerPOqScrC9Ji6B,210613,4
0.748,0.25,10,-15.704,0,0.94,0.651,0,0.099,0.423,99.653,audio_features,07cMiuD9pIsjwq4wwLJqqR,spotify:track:07cMiuD9pIsjwq4wwLJqqR,https://api.spotify.com/v1/tracks/07cMiuD9pIsjwq4wwLJqqR,https://api.spotify.com/v1/audio-analysis/07cMiuD9pIsjwq4wwLJqqR,214500,1
0.497,0.25,9,-15.393,0,0.0441,0.966,8.56E-05,0.287,0.416,105.527,audio_features,2TQRjFHPqh7jeb70ER4SlG,spotify:track:2TQRjFHPqh7jeb70ER4SlG,https://api.spotify.com/v1/tracks/2TQRjFHPqh7jeb70ER4SlG,https://api.spotify.com/v1/audio-analysis/2TQRjFHPqh7jeb70ER4SlG,127200,3
0.68,0.25,5,-14.607,0,0.953,0.623,0,0.187,0.419,69.013,audio_features,2LG9NXYsGOMZDxCSj0k1sS,spotify:track:2LG9NXYsGOMZDxCSj0k1sS,https://api.spotify.com/v1/tracks/2LG9NXYsGOMZDxCSj0k1sS,https://api.spotify.com/v1/audio-analysis/2LG9NXYsGOMZDxCSj0k1sS,198383,3
0.702,0.25,7,-14.208,0,0.946,0.576,0,0.12,0.253,136.836,audio_features,2LHic2RGtMd5QMraG31FiK,spotify:track:2LHic2RGtMd5QMraG31FiK,https://api.spotify.com/v1/tracks/2LHic2RGtMd5QMraG31FiK,https://api.spotify.com/v1/audio-analysis/2LHic2RGtMd5QMraG31FiK,190139,4
0.616,0.25,5,-17.667,0,0.0288,0.685,0.000407,0.0462,0.357,106.053,audio_features,6J2yr7CIdxbjzLuQmnGs01,spotify:track:6J2yr7CIdxbjzLuQmnGs01,https://api.spotify.com/v1/tracks/6J2yr7CIdxbjzLuQmnGs01,https://api.spotify.com/v1/audio-analysis/6J2yr7CIdxbjzLuQmnGs01,328840,4
0.611,0.25,9,-12.142,1,0.044,0.141,0,0.12,0.488,146.264,audio_features,44bh7ojvxEyXw0IwaDx8mT,spotify:track:44bh7ojvxEyXw0IwaDx8mT,https://api.spotify.com/v1/tracks/44bh7ojvxEyXw0IwaDx8mT,https://api.spotify.com/v1/audio-analysis/44bh7ojvxEyXw0IwaDx8mT,368546,4
0.398,0.25,0,-7.352,1,0.035,0.884,0,0.15,0.29,121.927,audio_features,7CUGfWOG6qszqXJ7DTvtBy,spotify:track:7CUGfWOG6qszqXJ7DTvtBy,https://api.spotify.com/v1/tracks/7CUGfWOG6qszqXJ7DTvtBy,https://api.spotify.com/v1/audio-analysis/7CUGfWOG6qszqXJ7DTvtBy,330531,4
0.71,0.25,0,-13.187,1,0.0345,0.966,0.823,0.107,0.318,119.998,audio_features,4vVN6rq9ItrNqAuAvm0QsH,spotify:track:4vVN6rq9ItrNqAuAvm0QsH,https://api.spotify.com/v1/tracks/4vVN6rq9ItrNqAuAvm0QsH,https://api.spotify.com/v1/audio-analysis/4vVN6rq9ItrNqAuAvm0QsH,286500,4
0.712,0.25,9,-9.905,1,0.051,0.0272,0.808,0.183,0.317,140.008,audio_features,5vigLt00hDKeEwDyOxU2pa,spotify:track:5vigLt00hDKeEwDyOxU2pa,https://api.spotify.com/v1/tracks/5vigLt00hDKeEwDyOxU2pa,https://api.spotify.com/v1/audio-analysis/5vigLt00hDKeEwDyOxU2pa,249959,4
0.647,0.25,5,-14.722,1,0.948,0.677,0,0.22,0.369,88.386,audio_features,0AQKrPyJZso9LSu91WpbFt,spotify:track:0AQKrPyJZso9LSu91WpbFt,https://api.spotify.com/v1/tracks/0AQKrPyJZso9LSu91WpbFt,https://api.spotify.com/v1/audio-analysis/0AQKrPyJZso9LSu91WpbFt,193100,4
0.584,0.25,6,-18.238,1,0.0451,0.943,0.905,0.102,0.261,102.032,audio_features,7C5d0TcLfpBp2o548m4gST,spotify:track:7C5d0TcLfpBp2o548m4gST,https://api.spotify.com/v1/tracks/7C5d0TcLfpBp2o548m4gST,https://api.spotify.com/v1/audio-analysis/7C5d0TcLfpBp2o548m4gST,199520,4
0.503,0.25,11,-20.708,1,0.0535,0.987,0.947,0.108,0.74,91.762,audio_features,0vWHu9P48X9iTyhEoJFLSY,spotify:track:0vWHu9P48X9iTyhEoJFLSY,https://api.spotify.com/v1/tracks/0vWHu9P48X9iTyhEoJFLSY,https://api.spotify.com/v1/audio-analysis/0vWHu9P48X9iTyhEoJFLSY,185834,4
0.703,0.375,10,-9.03,0,0.109,0.0215,0,0.097,0.0764,71.934,audio_features,20owhhiuYIj9JwP1O0tYf6,spotify:track:20owhhiuYIj9JwP1O0tYf6,https://api.spotify.com/v1/tracks/20owhhiuYIj9JwP1O0tYf6,https://api.spotify.com/v1/audio-analysis/20owhhiuYIj9JwP1O0tYf6,68389,4
0.664,0.375,2,-13.339,0,0.134,0.57,7.89E-06,0.155,0.572,86.393,audio_features,58YEPxpru3JMJNdScx67Qi,spotify:track:58YEPxpru3JMJNdScx67Qi,https://api.spotify.com/v1/tracks/58YEPxpru3JMJNdScx67Qi,https://api.spotify.com/v1/audio-analysis/58YEPxpru3JMJNdScx67Qi,224053,4
